date;S03;S04
17/05/2023 05:15;0,7;-0,8
17/05/2023 05:20;1,2;0,3
17/05/2023 05:25;0,5;-1,5
17/05/2023 05:30;0,1;-1,7
17/05/2023 05:35;1,5;1
17/05/2023 05:40;0,7;-0,7
17/05/2023 05:45;1;-1,2
17/05/2023 05:50;1,1;-0,5
17/05/2023 05:55;1,5;0,4
17/05/2023 06:00;0,4;-1,1
17/05/2023 06:05;1,2;1,1
17/05/2023 06:10;0,5;-1,4
17/05/2023 06:15;0,9;-0,6
17/05/2023 06:20;1,2;1
17/05/2023 06:25;0,7;-0,9
17/05/2023 06:30;0,1;-1,6
17/05/2023 06:35;0,6;-0,7
17/05/2023 06:40;1,4;0,7
17/05/2023 06:45;0,1;-2,1
17/05/2023 06:50;1,2;1,1
17/05/2023 06:55;0,8;-1,8
17/05/2023 07:00;0,5;0,2
17/05/2023 07:05;1;0,2
17/05/2023 07:10;1,4;0,5
17/05/2023 07:15;0,4;-1,8
17/05/2023 07:20;1,2;0,6
17/05/2023 07:25;-0,2;-2
17/05/2023 07:30;1;1
17/05/2023 07:35;0;-1,5
17/05/2023 07:40;0,4;-0,3
17/05/2023 07:45;0,9;0,6
17/05/2023 07:50;0,5;-2,1
17/05/2023 07:55;0,6;0,3
17/05/2023 08:00;1,3;1,1
17/05/2023 08:05;-0,4;-2,5
17/05/2023 08:10;0,7;-0,3
17/05/2023 08:15;0,5;-1,9
17/05/2023 08:20;-0,5;-1,6
17/05/2023 08:25;0,7;0,4
17/05/2023 08:30;1;0,7
17/05/2023 08:35;1;-1,5
17/05/2023 08:40;0,1;-0,9
17/05/2023 08:45;0,7;-0,3
17/05/2023 08:50;1,2;0,8
17/05/2023 08:55;0,6;-0,8
17/05/2023 09:00;1;-0,3
17/05/2023 09:05;1,2;-0,6
17/05/2023 09:10;0,2;-1,9
17/05/2023 09:15;1;-0,9
17/05/2023 09:20;-0,5;-2,7
17/05/2023 09:25;0,7;0,1
17/05/2023 09:30;-0,2;-2,1
17/05/2023 09:35;-0,3;-1,7
17/05/2023 09:40;0,8;0,5
17/05/2023 09:45;1,4;0,7
17/05/2023 09:50;0,1;-1,6
17/05/2023 09:55;0,5;-0,5
17/05/2023 10:00;1,1;0,8
17/05/2023 10:05;1,4;-0,1
17/05/2023 10:10;1,5;0,2
17/05/2023 10:15;1,9;1,5
17/05/2023 10:20;2,2;1,7
17/05/2023 10:25;2,5;2
17/05/2023 10:30;2,8;2,2
17/05/2023 10:35;3,2;2,8
17/05/2023 10:40;3,6;4,3
17/05/2023 10:45;4,4;4,9
17/05/2023 10:50;4,1;2,9
17/05/2023 10:55;2,6;0,9
17/05/2023 11:00;0,8;-0,7
17/05/2023 11:05;1,2;1,1
17/05/2023 11:10;0,1;-1,6
17/05/2023 11:15;0,1;-1,3
17/05/2023 11:20;1,1;0,6
17/05/2023 11:25;1,7;1
17/05/2023 11:30;0,7;-1,7
17/05/2023 11:35;1,3;0,9
17/05/2023 11:40;0;-2,2
17/05/2023 11:45;1,1;1
17/05/2023 11:50;0,3;-1,2
17/05/2023 11:55;1,2;1,1
17/05/2023 12:00;0,5;-1,1
17/05/2023 12:05;0,7;-0,1
17/05/2023 12:10;1,3;1,1
17/05/2023 12:15;0,9;-0,8
17/05/2023 12:20;0;1,1
17/05/2023 12:25;1;-0,4
17/05/2023 12:30;0,3;-0,6
17/05/2023 12:35;0,8;-0,6
17/05/2023 12:40;1,1;-0,1
17/05/2023 12:45;1;-0,7
17/05/2023 12:50;0,3;-1,2
17/05/2023 12:55;1,1;-0,5
17/05/2023 13:00;1,7;0,8
17/05/2023 13:05;0,8;-1,3
17/05/2023 13:10;1;0,3
